LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value	Flag Codes
AUS	PASSCAR	TOT	IDX2015	M	2021-08	40.34804327	
AUS	PASSCAR	TOT	IDX2015	M	2021-09	43.12184036	
AUS	PASSCAR	TOT	IDX2015	M	2021-10	37.12047905	
AUS	PASSCAR	TOT	IDX2015	M	2021-11	39.16824871	
AUS	PASSCAR	TOT	IDX2015	M	2021-12	33.73235108	
AUS	PASSCAR	TOT	IDX2015	M	2022-01	36.62017169	
AUS	PASSCAR	TOT	IDX2015	M	2022-02	36.49916712	
AUS	PASSCAR	TOT	IDX2015	M	2022-03	51.19191441	
AUS	PASSCAR	TOT	IDX2015	M	2022-04	35.93835748	
AUS	PASSCAR	TOT	IDX2015	M	2022-05	40.14559332	
AUS	PASSCAR	TOT	IDX2015	M	2022-06	42.93335247	
AUS	PASSCAR	TOT	IDX2015	M	2022-07	37.28569683	
AUS	PASSCAR	TOT	IDX2015	M	2022-08	46.53323844	
AUS	PASSCAR	TOT	IDX2015	M	2022-09	40.69942193	
AUS	PASSCAR	TOT	IDX2015	M	2022-10	30.99811318	
AUS	PASSCAR	TOT	IDX2015	M	2022-11	38.84246717	
AUS	PASSCAR	TOT	IDX2015	M	2022-12	34.76787096	
AUS	PASSCAR	TOT	IDX2015	M	2023-01	38.63303619	
AUS	PASSCAR	TOT	IDX2015	M	2023-02	38.24442535	
AUS	PASSCAR	TOT	IDX2015	M	2023-03	39.98270255	
AUT	PASSCAR	TOT	IDX2015	M	1957-01	9.158820956	
AUT	PASSCAR	TOT	IDX2015	M	1957-02	13.8179579	
AUT	PASSCAR	TOT	IDX2015	M	1957-03	23.04289349	
AUT	PASSCAR	TOT	IDX2015	M	1957-04	24.65297921	
